piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,post_landing,67,1111.0,58,196.183,472.665,-0.34425,0.00000,0.34425,0.029541,-0.008927,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,68,1127.0,58,195.837,472.693,0.22299,0.04034,0.22661,-0.029833,0.020744,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,69,1144.0,58,196.061,472.667,-0.28424,0.00000,0.28424,0.025500,-0.009220,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,70,1161.0,58,195.792,472.685,0.26537,0.02228,0.26630,-0.031731,0.014908,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,71,1178.0,58,196.058,472.662,-0.31825,0.00000,0.31825,0.031027,-0.016963,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,72,1194.0,58,195.739,472.686,0.30811,0.02619,0.30922,-0.034744,0.014201,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,73,1211.0,58,196.030,472.659,-0.23389,0.00000,0.23389,0.024316,-0.018673,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,74,1228.0,58,195.782,472.680,-0.33644,-0.02221,0.33717,0.031222,0.007162,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,75,1244.0,58,195.463,472.718,0.19726,0.05338,0.20435,-0.025140,0.036703,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,76,1261.0,58,195.650,472.683,0.23056,0.03282,0.23289,-0.023289,0.012916,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,77,1277.0,58,195.882,472.666,0.22660,0.00000,0.22660,-0.019037,-0.010475,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,78,1294.0,58,196.109,472.660,0.24772,-0.01542,0.24820,-0.018795,-0.029596,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,79,1311.0,58,196.344,472.668,0.22950,-0.03294,0.23185,-0.015442,-0.047379,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,80,1327.0,58,196.574,472.692,0.29167,-0.04907,0.29577,-0.021230,-0.062888,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,81,1344.0,58,196.867,472.740,0.34921,-0.05789,0.35398,-0.026336,-0.084211,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,82,1361.0,58,197.198,472.822,0.40772,-0.04243,0.40992,-0.030987,-0.109130,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,83,1377.0,58,197.607,472.972,0.42012,-0.06778,0.42555,-0.032134,-0.140253,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,84,1394.0,58,198.029,473.175,-0.11137,0.16062,0.19545,0.023849,-0.172528,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,85,1411.0,58,197.924,473.026,-0.23907,0.09318,0.25659,0.027646,-0.149963,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,86,1427.0,58,197.684,472.881,-0.34919,0.09362,0.36152,0.031063,-0.122196,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,87,1444.0,58,197.333,472.760,-0.45112,0.06110,0.45523,0.034123,-0.090996,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,88,1461.0,58,196.906,472.683,0.08271,-0.03115,0.08838,-0.024736,-0.058710,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,89,1477.0,58,196.989,472.738,0.18151,-0.04553,0.18714,-0.031514,-0.083555,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,90,1494.0,58,197.171,472.850,0.26213,-0.04521,0.26600,-0.036367,-0.115207,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,91,1511.0,58,197.419,473.026,-0.24818,0.13860,0.28426,0.019464,-0.149616,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,92,1527.0,58,197.170,472.919,-0.37999,0.12144,0.39892,0.026765,-0.130067,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
