run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
6,5,1,1,239,START,11283,5.000,7.374,0.000000,-0.126928,-0.126928,11.019478,1.399164,-9.620314,0.000000,-0.258288,-0.258288,-9.620314,0.126928,195.000,0.000000,0.000,0.000000,2,2
6,5,2,1,250,START,11281,2.947,2.119,-0.122266,-0.302505,-0.180239,2.027933,0.298237,-1.729696,-0.248802,-0.228479,0.020322,-1.729696,0.180239,194.659,-0.693274,0.000,0.000000,1,2
6,5,2,2,251,OFFSET_CHANGE+RESPONSE,11281,2.875,4.135,-0.302505,-0.655078,-0.352574,0.298237,0.367929,0.069693,-0.228479,-0.169284,0.059195,0.069693,0.352574,194.582,-0.751313,-0.077,-0.058039,1,2
6,5,3,1,285,START,11319;11328;11333;11338;11348,10.655,24.379,-0.578824,-0.371338,0.207486,2.480757,0.959681,-1.521076,-0.149578,0.038900,0.188478,-1.521076,-0.207486,189.371,-2.098094,0.000,0.000000,7,10
6,5,3,2,286,PART_CHANGE+WIDTH_CHANGE+RESPONSE,11333;11338;11348,2.233,26.090,-0.371338,-0.141705,0.229633,0.959681,0.845635,-0.114046,0.038900,0.033865,-0.005035,-0.114046,-0.229633,189.277,-2.088212,-0.094,0.009881,3,6
6,5,3,3,287,PART_CHANGE+WIDTH_CHANGE+RESPONSE,11338;11348,0.873,25.612,-0.141705,0.106098,0.247803,0.845635,0.712084,-0.133551,0.033865,0.029253,-0.004612,-0.133551,-0.247803,189.241,-2.079610,-0.130,0.018484,2,4
6,5,3,4,288,PART_CHANGE,11348,0.000,24.868,0.106098,0.212360,0.106263,0.712084,0.688423,-0.023661,0.029253,0.027852,-0.001401,-0.023661,-0.106263,189.267,-2.072179,-0.103,0.025915,1,2
6,5,3,5,298,WIDTH_CHANGE+OFFSET_CHANGE,11348,5.454,23.791,0.620501,0.644767,0.024266,0.855955,0.891036,0.035082,0.031941,0.033053,0.001112,0.035082,-0.024266,190.398,-2.000838,1.027,0.097256,1,2
6,5,3,6,300,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,11348;11363;11364,40.311,6.738,0.667607,0.471932,-0.195675,0.927300,-0.053431,-0.980731,0.034189,0.003263,-0.030926,-0.980731,0.195675,190.732,-1.983757,1.361,0.114337,3,6
6,5,3,7,301,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11363;11364,3.149,11.825,0.471932,0.372656,-0.099276,-0.053431,-0.091290,-0.037860,0.003263,0.006801,0.003537,-0.037860,0.099276,190.851,-1.982928,1.481,0.115166,2,4
6,5,3,8,302,PART_CHANGE+WIDTH_CHANGE,11364,0.917,12.904,0.372656,0.333959,-0.038697,-0.091290,-0.091172,0.000119,0.006801,0.006477,-0.000323,0.000119,0.038697,190.946,-1.981200,1.575,0.116893,1,2
6,5,3,9,325,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11348;11364,40.309,6.598,-0.182995,-0.124749,0.058246,0.160613,0.000062,-0.160551,-0.013302,-0.000471,0.012831,-0.160551,-0.058246,191.219,-1.990214,1.848,0.107879,2,4
